income,balance,student,default
40141.68,630.39,No,No
31672.97,616.05,Yes,No
42155.22,0.0,Yes,No
53829.65,675.7,Yes,No
30394.1,1189.85,No,Yes
30394.32,219.01,Yes,No
54578.96,1342.53,No,Yes
43752.28,1071.31,No,Yes
27255.62,480.21,No,No
40753.12,766.91,No,No
27336.4,1608.49,No,Yes
27305.56,1190.19,Yes,Yes
36744.05,839.62,No,No
7999.58,720.4,No,No
10511.77,872.43,No,Yes
26017.77,587.82,Yes,No
20008.87,0.0,No,No
37708.12,1823.19,No,Yes
21406.68,910.5,No,Yes
14681.11,1027.96,Yes,No
53064.36,807.36,No,No
30505.82,479.79,No,No
34417.62,745.44,No,No
14515.13,61.73,No,No
26256.57,1936.82,No,Yes
34996.37,238.22,No,No
18166.2,336.2,No,No
38527.68,622.41,No,No
25506.28,1458.43,Yes,Yes
29626.68,842.39,No,No
25492.04,237.44,No,No
58220.83,1442.11,Yes,No
33336.99,1188.96,No,Yes
19410.31,1095.82,Yes,Yes
44487.28,1181.58,No,Yes
17234.61,1993.55,No,Yes
36302.61,1892.32,Yes,Yes
7380.88,503.2,No,Yes
15802.98,1620.86,Yes,Yes
36142.54,1020.71,No,Yes
43365.93,1076.79,No,No
35802.54,16.8,No,No
31974.6,752.95,Yes,No
29501.18,442.2,Yes,No
13797.95,1235.91,No,Yes
23916.44,1353.46,No,Yes
27373.46,0.0,Yes,No
47615.84,824.71,Yes,No
38099.84,1378.03,Yes,Yes
10003.33,745.07,No,Yes
37839.31,1188.03,No,Yes
28381.16,1005.23,Yes,Yes
24488.89,1000.63,No,No
41674.93,704.13,Yes,No
47267.44,246.9,No,No
45937.48,292.87,No,No
22324.36,1178.49,No,Yes
29393.03,844.78,No,No
37935.06,768.37,No,No
46527.85,630.33,No,No
27126.25,687.75,No,No
31040.87,1341.77,No,Yes
18761.81,673.21,Yes,No
17563.19,186.68,No,No
44353.66,1195.08,No,Yes
51605.17,736.27,Yes,No
32556.6,850.56,Yes,Yes
46901.12,1612.97,No,Yes
38340.14,825.42,Yes,Yes
24913.04,975.25,No,Yes
38336.93,265.11,No,No
54029.79,729.11,No,No
33039.19,1130.2,No,Yes
54384.65,83.02,No,No
800.0,932.52,No,Yes
44478.71,884.12,Yes,Yes
34677.95,855.34,No,No
29529.14,1337.05,Yes,Yes
34740.81,997.14,Yes,No
7008.79,1550.33,No,Yes
30587.24,354.76,Yes,No
38279.81,901.12,No,No
53227.67,876.23,Yes,No
26604.83,318.16,Yes,No
22734.12,1297.94,Yes,Yes
26825.07,1959.84,Yes,Yes
45725.72,827.14,No,No
37901.55,1079.65,No,Yes
26451.59,876.25,No,No
40362.45,490.2,No,No
34811.72,0.0,Yes,No
46435.82,493.98,No,No
24153.72,162.07,Yes,No
29146.97,1659.66,No,Yes
28287.45,779.69,No,No
13998.1,668.05,No,No
37466.36,1265.46,No,Yes
36998.69,292.77,No,No
33585.2,464.43,No,No
30388.31,868.3,No,No
14640.2,1333.0,No,Yes
27906.85,1078.04,No,No
28946.22,955.49,No,No
22817.03,873.16,No,No
31365.93,1028.97,Yes,Yes
38905.83,932.91,No,Yes
58673.06,337.16,No,No
35845.34,857.66,No,Yes
36951.95,316.02,Yes,No
32524.11,874.59,No,Yes
7926.35,602.88,No,Yes
33163.38,2063.69,No,Yes
34320.29,816.07,No,No
66369.26,156.13,No,No
30951.48,770.47,Yes,No
37538.74,1086.59,Yes,Yes
33054.05,1644.79,No,Yes
17930.34,550.25,No,No
48758.83,69.93,Yes,No
43545.53,1230.48,No,Yes
44066.99,167.56,No,No
21388.5,624.4,No,No
52226.07,710.76,Yes,Yes
14820.51,801.69,Yes,Yes
41343.91,1168.73,No,Yes
62731.11,504.69,No,No
20306.22,702.96,No,Yes
25964.29,828.47,No,Yes
34846.05,907.73,No,Yes
26802.15,882.69,No,No
12835.8,1046.27,No,Yes
34431.42,1243.54,No,Yes
19349.06,1025.29,No,No
39833.3,1054.77,Yes,No
21254.64,70.03,No,No
54188.48,859.67,Yes,No
23070.75,1067.31,No,No
29221.67,1187.97,No,Yes
44366.88,500.47,Yes,No
17100.96,516.59,No,Yes
36550.63,557.67,No,No
50950.36,1094.84,No,Yes
12078.0,1335.47,Yes,Yes
35979.46,638.28,No,No
36983.06,1274.56,No,Yes
43944.17,895.1,Yes,No
17019.79,775.25,Yes,No
15906.07,733.12,Yes,Yes
40478.13,1196.51,No,Yes
37477.88,992.86,No,No
36857.82,1936.21,No,Yes
38137.58,423.14,No,No
24447.51,1085.98,Yes,No
36614.57,579.39,No,No
37425.71,414.89,Yes,No
23989.7,830.11,No,Yes
58400.83,901.81,No,No
39836.51,2246.92,Yes,Yes
17628.59,746.3,No,Yes
42273.46,288.69,Yes,No
20517.67,967.43,No,Yes
44014.35,0.0,Yes,No
48969.19,790.89,No,No
22571.56,843.12,Yes,Yes
46365.55,1219.73,No,Yes
39022.26,1306.32,No,Yes
44480.82,591.79,No,No
58814.53,762.52,No,No
30244.26,464.79,No,No
23464.42,289.71,No,No
21653.55,985.27,Yes,No
22636.54,219.32,Yes,No
32488.69,634.81,No,Yes
38066.94,353.99,No,No
37207.23,1101.26,No,No
44549.14,1706.74,Yes,Yes
33690.41,205.78,No,Yes
52902.78,0.0,Yes,No
29987.27,774.96,No,No
69795.9,842.96,No,No
41861.53,941.14,Yes,No
22085.09,619.48,No,Yes
19234.51,738.32,Yes,Yes
39951.73,1013.14,No,No
30536.68,1338.64,No,Yes
43039.62,0.0,No,No
39828.57,656.91,No,No
32545.68,938.79,Yes,No
22223.31,391.34,No,No
13313.48,1672.75,No,Yes
27561.83,528.02,No,No
44938.79,815.4,Yes,No
36372.37,1104.32,No,No
16902.58,549.36,No,No
35826.71,0.0,No,No
38655.98,628.03,No,No
21728.99,1333.32,No,Yes
35567.23,672.41,No,No
34293.33,425.94,No,No
18273.21,1283.13,Yes,Yes
38288.81,675.37,No,No
40996.18,588.6,No,No
47961.65,907.66,No,No
47571.56,1208.19,No,No
15143.02,1987.43,No,Yes
21009.23,1235.51,Yes,Yes
40386.03,1396.4,No,Yes
40369.36,590.63,No,No
40386.19,339.15,No,No
74000.0,865.52,No,No
41130.97,887.21,No,No
48662.04,313.68,Yes,No
46240.52,750.58,No,No
42204.61,1028.52,No,No
29312.25,1009.7,No,Yes
43639.37,1079.3,No,No
23209.83,976.11,Yes,Yes
30358.55,590.12,Yes,No
27043.71,586.79,No,No
34608.96,255.43,No,No
64387.6,1698.68,No,Yes
8613.28,841.88,No,No
42669.65,726.61,No,No
12008.21,386.1,No,No
27222.84,2255.38,Yes,Yes
48040.33,316.19,No,No
34374.3,627.93,No,No
19143.12,1036.51,Yes,Yes
23976.99,1125.7,No,Yes
42580.8,1298.73,No,No
23776.1,1709.73,No,Yes
36403.91,1080.2,Yes,Yes
34124.79,324.56,No,No
24826.61,711.08,Yes,No
62110.78,984.27,Yes,Yes
41971.58,1835.79,No,Yes
6507.67,159.24,No,No
36003.74,1417.07,No,No
24690.75,922.4,No,Yes
44885.9,1240.64,No,Yes
22947.15,786.03,No,No
31986.76,427.88,No,No
40252.02,1198.57,No,Yes
45063.58,1151.92,No,Yes
17508.65,1305.56,No,Yes
29055.76,828.93,Yes,Yes
27182.65,545.23,No,No
24803.55,81.37,No,No
57062.86,1231.71,No,Yes
38918.24,1040.41,No,No
16700.59,368.21,Yes,No
45758.52,574.86,No,Yes
61820.2,609.59,No,No
47286.99,118.04,Yes,No
13253.16,439.85,No,No
27058.77,286.92,No,No
50413.79,635.85,No,No
24078.81,478.05,No,Yes
